time,frequency,confidence
0.000,135.332,0.245981
0.010,135.133,0.057209
0.020,135.825,0.287123
0.030,138.457,0.397089
0.040,140.683,0.308530
0.050,215.027,0.135493
0.060,154.527,0.083867
0.070,43.991,0.089987
0.080,134.096,0.144946
0.090,231.203,0.156104
0.100,230.281,0.114078
0.110,228.503,0.098658
0.120,224.609,0.089840
0.130,139.160,0.136075
0.140,224.817,0.260745
0.150,225.393,0.219204
0.160,57.205,0.153198
0.170,219.985,0.214983
0.180,217.350,0.134812
0.190,232.340,0.214236
0.200,232.246,0.463712
0.210,232.172,0.619589
0.220,230.638,0.607305
0.230,228.026,0.643606
0.240,32.642,0.266205
0.250,32.744,0.612262
0.260,32.557,0.517478
0.270,33.611,0.110913
0.280,35.067,0.382146
0.290,35.314,0.436744
0.300,249.954,0.213064
0.310,253.525,0.626568
0.320,254.760,0.576106
0.330,258.517,0.291411
0.340,37.485,0.114384
0.350,156.338,0.280023
0.360,32.342,0.136790
0.370,32.400,0.050718
0.380,209.843,0.074126
0.390,212.269,0.140079
0.400,34.507,0.211891
0.410,305.920,0.117587
0.420,305.549,0.173176
0.430,286.355,0.433845
0.440,152.375,0.125972
0.450,229.690,0.403812
0.460,238.273,0.431239
0.470,239.805,0.604268
0.480,237.998,0.642365
0.490,235.111,0.555880
0.500,233.696,0.609356
0.510,231.239,0.463805
0.520,235.660,0.202543
0.530,256.628,0.284439
0.540,260.001,0.627547
0.550,259.551,0.418187
0.560,133.064,0.192909
0.570,133.003,0.183217
0.580,137.483,0.291732
0.590,137.659,0.475821
0.600,136.087,0.455667
0.610,136.229,0.458860
0.620,134.473,0.124891
0.630,32.747,0.265093
0.640,258.171,0.084529
0.650,255.793,0.198329
0.660,257.554,0.356387
0.670,257.671,0.243533
0.680,253.556,0.308823
0.690,133.466,0.078199
0.700,153.861,0.051303
0.710,180.485,0.047521
0.720,35.274,0.124723
0.730,222.407,0.176225
0.740,221.698,0.180351
0.750,212.880,0.145371
0.760,207.660,0.058246
0.770,205.255,0.044564
0.780,100.367,0.072728
0.790,174.253,0.106548
0.800,147.378,0.179114
0.810,157.123,0.155927
0.820,152.861,0.226177
0.830,145.388,0.160693
0.840,143.122,0.184000
0.850,211.091,0.414366
0.860,275.470,0.409439
0.870,273.032,0.452338
0.880,273.653,0.645210
0.890,275.128,0.842735
0.900,276.374,0.900976
0.910,276.890,0.938448
0.920,278.153,0.953490
0.930,278.018,0.960185
0.940,277.929,0.958061
0.950,277.735,0.960339
0.960,277.714,0.952444
0.970,277.250,0.955102
0.980,277.291,0.947297
0.990,277.326,0.951923
1.000,277.322,0.949649
1.010,277.218,0.951533
1.020,277.343,0.949593
1.030,277.204,0.947237
1.040,277.192,0.950294
1.050,277.283,0.948821
1.060,277.241,0.954050
1.070,277.315,0.944963
1.080,277.341,0.952511
1.090,277.312,0.949166
1.100,277.272,0.948469
1.110,277.327,0.946826
1.120,277.317,0.943753
1.130,277.332,0.951574
1.140,277.371,0.951001
1.150,277.330,0.953480
1.160,277.352,0.947966
1.170,277.358,0.951986
1.180,277.322,0.950464
1.190,277.335,0.952882
1.200,277.381,0.949924
1.210,277.372,0.947533
1.220,277.346,0.952534
1.230,277.344,0.949602
1.240,277.288,0.952339
1.250,277.364,0.946274
1.260,277.354,0.951396
1.270,277.307,0.948881
1.280,277.315,0.951687
1.290,277.379,0.948957
1.300,277.368,0.946691
1.310,277.334,0.952007
1.320,277.343,0.948049
1.330,277.276,0.951766
1.340,277.366,0.945767
1.350,277.365,0.949650
1.360,277.289,0.945129
1.370,276.444,0.922063
1.380,276.291,0.898730
1.390,277.647,0.846915
1.400,278.369,0.816614
1.410,277.662,0.806247
1.420,278.666,0.712385
1.430,278.447,0.740649
1.440,278.052,0.654076
1.450,279.220,0.648880
1.460,278.615,0.705842
1.470,278.024,0.768033
1.480,278.263,0.810859
1.490,277.900,0.724823
1.500,277.774,0.787152
1.510,277.706,0.742248
1.520,278.149,0.639564
1.530,278.716,0.629581
1.540,278.201,0.489860
1.550,311.207,0.649729
1.560,311.328,0.682750
1.570,311.650,0.794135
1.580,311.342,0.819119
1.590,311.562,0.859519
1.600,311.360,0.879277
1.610,311.245,0.891703
1.620,311.603,0.915721
1.630,311.372,0.906811
1.640,311.432,0.915487
1.650,311.818,0.920217
1.660,311.367,0.925673
1.670,311.667,0.932777
1.680,311.977,0.948830
1.690,311.441,0.943359
1.700,311.788,0.951245
1.710,311.839,0.957429
1.720,311.380,0.949911
1.730,311.785,0.958455
1.740,311.984,0.964178
1.750,311.486,0.954713
1.760,311.967,0.961268
1.770,312.082,0.967769
1.780,311.517,0.962332
1.790,311.787,0.966105
1.800,311.937,0.968370
1.810,311.404,0.960003
1.820,311.779,0.968530
1.830,311.950,0.967934
1.840,311.557,0.961266
1.850,311.682,0.963384
1.860,311.895,0.967661
1.870,311.338,0.957684
1.880,311.405,0.963390
1.890,311.607,0.966381
1.900,311.531,0.966944
1.910,311.515,0.966111
1.920,311.483,0.964038
1.930,311.367,0.966848
1.940,311.899,0.924069
1.950,312.892,0.724630
1.960,312.525,0.525881
1.970,349.946,0.688010
1.980,349.799,0.846909
1.990,350.776,0.873241
2.000,350.270,0.906173
2.010,350.379,0.915877
2.020,350.063,0.905538
2.030,349.472,0.890864
2.040,349.651,0.901647
2.050,349.535,0.895634
2.060,349.404,0.917793
2.070,349.401,0.936762
2.080,349.831,0.938443
2.090,349.604,0.933882
2.100,349.366,0.933554
2.110,349.300,0.942057
2.120,349.170,0.947337
2.130,349.283,0.938926
2.140,349.359,0.951006
2.150,349.421,0.951226
2.160,349.298,0.955682
2.170,349.160,0.950624
2.180,349.241,0.959828
2.190,349.238,0.961068
2.200,349.145,0.964151
2.210,349.106,0.960563
2.220,349.310,0.969741
2.230,349.445,0.969729
2.240,349.272,0.970139
2.250,349.092,0.966476
2.260,349.254,0.974236
2.270,349.421,0.972475
2.280,349.439,0.976195
2.290,349.423,0.975701
2.300,349.525,0.979241
2.310,349.600,0.977346
2.320,349.585,0.980203
2.330,349.561,0.978792
2.340,349.648,0.981926
2.350,349.703,0.980215
2.360,349.768,0.982211
2.370,349.786,0.980482
2.380,349.872,0.982898
2.390,349.833,0.981480
2.400,349.788,0.983931
2.410,349.727,0.981874
2.420,349.752,0.983193
2.430,349.883,0.981897
2.440,349.922,0.984048
2.450,349.853,0.982484
2.460,349.874,0.984255
2.470,349.901,0.982347
2.480,349.907,0.984522
2.490,351.084,0.966666
2.500,354.589,0.840887
2.510,364.014,0.778201
2.520,370.567,0.850606
2.530,371.745,0.880596
2.540,371.618,0.901527
2.550,371.135,0.907324
2.560,370.883,0.939847
2.570,370.607,0.936831
2.580,370.933,0.944332
2.590,370.846,0.944389
2.600,370.548,0.954815
2.610,370.412,0.957572
2.620,370.663,0.954598
2.630,370.699,0.951324
2.640,370.621,0.958770
2.650,370.856,0.965671
2.660,370.739,0.963056
2.670,370.533,0.953062
2.680,370.568,0.958683
2.690,370.719,0.962124
2.700,370.634,0.962034
2.710,370.465,0.961091
2.720,370.679,0.957745
2.730,370.723,0.958175
2.740,370.483,0.958948
2.750,370.504,0.963837
2.760,370.547,0.960608
2.770,370.517,0.956430
2.780,370.494,0.960881
2.790,370.753,0.962831
2.800,370.684,0.964070
2.810,370.410,0.959733
2.820,370.612,0.961530
2.830,370.774,0.962945
2.840,370.665,0.962499
2.850,370.613,0.965032
2.860,370.711,0.964026
2.870,370.759,0.962655
2.880,370.533,0.960581
2.890,370.821,0.965184
2.900,370.746,0.964065
2.910,370.602,0.959515
2.920,370.634,0.963415
2.930,370.720,0.962647
2.940,370.740,0.961610
2.950,370.551,0.961578
2.960,370.756,0.960669
2.970,370.789,0.962385
2.980,370.559,0.961057
2.990,370.637,0.964827
3.000,370.683,0.963476
3.010,370.468,0.948728
3.020,370.154,0.905509
3.030,374.633,0.498134
3.040,420.514,0.618815
3.050,416.410,0.714216
3.060,415.922,0.798409
3.070,415.291,0.877505
3.080,414.580,0.858021
3.090,414.469,0.858099
3.100,415.047,0.898482
3.110,414.788,0.873667
3.120,414.400,0.877322
3.130,414.420,0.866843
3.140,414.306,0.869294
3.150,414.286,0.857455
3.160,414.015,0.842533
3.170,414.189,0.867890
3.180,414.106,0.848620
3.190,414.732,0.904711
3.200,414.718,0.893377
3.210,415.052,0.911947
3.220,415.499,0.934504
3.230,415.543,0.926748
3.240,415.997,0.947906
3.250,415.690,0.932174
3.260,415.878,0.951964
3.270,415.566,0.927906
3.280,415.635,0.950151
3.290,415.631,0.940838
3.300,415.737,0.950508
3.310,415.848,0.955706
3.320,415.746,0.949714
3.330,416.048,0.956273
3.340,415.763,0.949202
3.350,415.906,0.956972
3.360,415.832,0.949757
3.370,415.971,0.960814
3.380,415.898,0.954291
3.390,415.865,0.956825
3.400,415.928,0.956409
3.410,415.683,0.956400
3.420,415.929,0.958388
3.430,415.829,0.958390
3.440,416.022,0.960634
3.450,415.786,0.956460
3.460,415.791,0.959753
3.470,415.738,0.958108
3.480,415.920,0.959703
3.490,415.931,0.959840
3.500,415.909,0.960312
3.510,415.824,0.960283
3.520,415.762,0.957003
3.530,415.822,0.961903
3.540,415.893,0.958202
3.550,415.867,0.953859
3.560,418.877,0.720575
3.570,467.097,0.448751
3.580,467.081,0.753428
3.590,466.262,0.884509
3.600,466.532,0.940016
3.610,467.855,0.966194
3.620,467.860,0.974943
3.630,467.933,0.977281
3.640,468.014,0.977706
3.650,467.626,0.976855
3.660,467.658,0.979853
3.670,467.888,0.978442
3.680,467.767,0.978655
3.690,467.733,0.979204
3.700,467.722,0.977922
3.710,467.640,0.976015
3.720,467.576,0.979945
3.730,467.614,0.978743
3.740,467.602,0.979213
3.750,467.612,0.980099
3.760,467.548,0.978481
3.770,467.651,0.978091
3.780,467.584,0.980748
3.790,467.602,0.979638
3.800,467.588,0.979725
3.810,467.618,0.980299
3.820,467.504,0.978763
3.830,467.652,0.979129
3.840,467.600,0.980419
3.850,467.570,0.979415
3.860,467.532,0.979696
3.870,467.636,0.980178
3.880,467.516,0.978936
3.890,467.637,0.979354
3.900,467.648,0.980499
3.910,467.583,0.979151
3.920,467.574,0.979372
3.930,467.652,0.980223
3.940,467.530,0.978636
3.950,467.629,0.979535
3.960,467.615,0.980001
3.970,467.612,0.979023
3.980,467.577,0.979730
3.990,467.599,0.980176
4.000,467.587,0.979264
4.010,467.627,0.980125
4.020,467.622,0.979761
4.030,467.609,0.979432
4.040,467.638,0.980059
4.050,467.573,0.979552
4.060,467.590,0.979374
4.070,467.709,0.980387
4.080,467.585,0.979496
4.090,467.613,0.979784
4.100,467.751,0.980540
4.110,467.589,0.979046
4.120,467.919,0.979772
4.130,468.616,0.977884
4.140,468.825,0.946775
4.150,468.277,0.906412
4.160,468.402,0.522527
4.170,467.535,0.703241
4.180,467.140,0.565769
4.190,516.688,0.585155
4.200,518.784,0.603909
4.210,518.381,0.677521
4.220,519.215,0.566126
4.230,518.751,0.660388
4.240,518.199,0.608855
4.250,519.249,0.547598
4.260,517.627,0.568523
4.270,519.155,0.560276
4.280,518.931,0.665249
4.290,520.024,0.633939
4.300,520.647,0.702855
4.310,521.071,0.696261
4.320,522.038,0.707523
4.330,520.675,0.710500
4.340,522.276,0.701913
4.350,521.531,0.735300
4.360,521.781,0.747069
4.370,521.804,0.795089
4.380,521.989,0.795684
4.390,523.633,0.835029
4.400,523.320,0.844924
4.410,524.328,0.871067
4.420,523.843,0.883937
4.430,524.564,0.899565
4.440,524.569,0.908126
4.450,524.210,0.913145
4.460,524.895,0.909140
4.470,524.151,0.926818
4.480,524.862,0.919586
4.490,523.973,0.932106
4.500,524.703,0.933891
4.510,524.414,0.942172
4.520,524.892,0.942169
4.530,524.801,0.939507
4.540,524.581,0.947835
4.550,524.927,0.945627
4.560,524.782,0.948155
4.570,524.723,0.945086
4.580,524.671,0.948249
4.590,524.462,0.950673
4.600,524.907,0.948341
4.610,524.459,0.950643
4.620,524.754,0.951029
4.630,524.741,0.957625
4.640,524.999,0.956668
4.650,524.904,0.954721
4.660,526.275,0.891480
4.670,528.098,0.625822
4.680,554.728,0.314434
4.690,553.573,0.266559
4.700,549.661,0.623949
4.710,552.396,0.816172
4.720,553.587,0.895934
4.730,554.404,0.915652
4.740,555.412,0.933145
4.750,555.420,0.938939
4.760,554.651,0.934665
4.770,554.623,0.928545
4.780,555.637,0.942325
4.790,555.073,0.939089
4.800,554.749,0.931746
4.810,554.814,0.939964
4.820,554.733,0.936238
4.830,554.906,0.928840
4.840,555.432,0.930879
4.850,555.333,0.940882
4.860,554.941,0.929218
4.870,555.389,0.930680
4.880,555.555,0.936490
4.890,555.164,0.929009
4.900,555.319,0.929441
4.910,555.794,0.936891
4.920,555.529,0.933939
4.930,555.575,0.930366
4.940,555.750,0.938398
4.950,555.402,0.932695
4.960,555.397,0.932111
4.970,555.527,0.934950
4.980,555.468,0.932623
4.990,555.366,0.929389
5.000,555.744,0.932380
5.010,555.698,0.937484
5.020,555.486,0.933848
5.030,555.416,0.935117
5.040,555.494,0.933750
5.050,555.373,0.931416
5.060,555.326,0.931889
5.070,555.556,0.934700
5.080,555.524,0.929123
5.090,555.711,0.933014
5.100,555.944,0.935518
5.110,555.776,0.935092
5.120,555.439,0.933581
5.130,555.404,0.934242
5.140,555.421,0.933142
5.150,555.368,0.931543
5.160,555.478,0.932725
5.170,555.624,0.932782
5.180,555.745,0.930083
5.190,555.817,0.935658
5.200,555.726,0.933388
5.210,555.560,0.936931
5.220,554.808,0.905388
5.230,550.870,0.715822
5.240,536.097,0.362301
5.250,525.224,0.548870
5.260,523.098,0.716111
5.270,524.032,0.824125
5.280,525.098,0.897630
5.290,524.316,0.935213
5.300,524.824,0.944693
5.310,525.474,0.937919
5.320,524.694,0.942423
5.330,525.122,0.954190
5.340,525.230,0.956239
5.350,524.920,0.951708
5.360,525.334,0.949345
5.370,525.801,0.951517
5.380,524.988,0.952030
5.390,525.215,0.955608
5.400,525.885,0.949284
5.410,525.172,0.952553
5.420,525.101,0.956385
5.430,525.872,0.955359
5.440,525.335,0.953807
5.450,524.969,0.956074
5.460,525.461,0.957338
5.470,525.438,0.956384
5.480,524.930,0.953555
5.490,525.311,0.957901
5.500,525.350,0.958845
5.510,525.027,0.958492
5.520,525.139,0.954328
5.530,525.254,0.956522
5.540,524.986,0.957843
5.550,525.081,0.959254
5.560,525.250,0.956881
5.570,524.947,0.956224
5.580,525.031,0.959656
5.590,525.269,0.959732
5.600,525.035,0.957630
5.610,524.774,0.958722
5.620,525.179,0.960266
5.630,525.059,0.960144
5.640,524.992,0.956824
5.650,524.975,0.957254
5.660,525.192,0.958467
5.670,524.987,0.958151
5.680,525.141,0.957603
5.690,524.832,0.957768
5.700,525.083,0.959104
5.710,524.871,0.960571
5.720,525.239,0.958748
5.730,524.941,0.955945
5.740,523.045,0.830219
5.750,235.512,0.243237
5.760,467.853,0.559035
5.770,466.580,0.869222
5.780,467.304,0.937112
5.790,467.350,0.966599
5.800,467.855,0.979247
5.810,467.946,0.981726
5.820,467.856,0.979846
5.830,467.760,0.979236
5.840,467.736,0.980116
5.850,467.665,0.979678
5.860,467.699,0.980194
5.870,467.732,0.980280
5.880,467.679,0.978674
5.890,467.676,0.979349
5.900,467.652,0.979624
5.910,467.565,0.979079
5.920,467.607,0.980085
5.930,467.602,0.979898
5.940,467.638,0.979500
5.950,467.614,0.979859
5.960,467.609,0.979446
5.970,467.619,0.979378
5.980,467.677,0.980282
5.990,467.576,0.979653
6.000,467.561,0.979432
6.010,467.712,0.980740
6.020,467.542,0.979512
6.030,467.579,0.980399
6.040,467.755,0.980617
6.050,467.556,0.979302
6.060,467.617,0.980058
6.070,467.747,0.980542
