time,frequency,confidence
0.000,270.576,0.157227
0.010,45.802,0.112747
0.020,45.990,0.298409
0.030,33.471,0.425493
0.040,32.935,0.417155
0.050,33.168,0.226437
0.060,32.381,0.055490
0.070,32.786,0.260063
0.080,32.755,0.135521
0.090,32.859,0.118317
0.100,33.724,0.134935
0.110,140.659,0.246274
0.120,140.904,0.070862
0.130,132.155,0.010702
0.140,32.665,0.047817
0.150,131.894,0.130768
0.160,134.553,0.259723
0.170,68.558,0.215609
0.180,33.895,0.499918
0.190,33.242,0.190535
0.200,124.837,0.069076
0.210,283.560,0.052784
0.220,41.440,0.037316
0.230,136.499,0.130859
0.240,136.666,0.177191
0.250,211.585,0.196541
0.260,140.579,0.067751
0.270,32.522,0.160462
0.280,41.016,0.067117
0.290,32.931,0.084763
0.300,32.769,0.096124
0.310,116.219,0.103180
0.320,116.002,0.048341
0.330,131.527,0.101262
0.340,133.846,0.075122
0.350,138.899,0.086114
0.360,141.772,0.126213
0.370,138.200,0.264619
0.380,132.791,0.199112
0.390,32.908,0.350799
0.400,257.789,0.029171
0.410,139.282,0.036148
0.420,35.801,0.424059
0.430,227.871,0.400136
0.440,222.646,0.199678
0.450,220.147,0.299639
0.460,218.600,0.405736
0.470,220.094,0.387568
0.480,176.692,0.202545
0.490,143.611,0.276154
0.500,142.497,0.086428
0.510,143.774,0.085165
0.520,210.834,0.102134
0.530,57.330,0.020433
0.540,233.823,0.056163
0.550,233.201,0.118004
0.560,227.476,0.065459
0.570,143.981,0.051514
0.580,128.830,0.164665
0.590,126.607,0.289382
0.600,126.717,0.143142
0.610,267.785,0.205820
0.620,268.129,0.235587
0.630,210.803,0.295811
0.640,213.821,0.320107
0.650,222.205,0.086619
0.660,223.142,0.024754
0.670,222.406,0.041360
0.680,136.605,0.113945
0.690,134.472,0.312984
0.700,134.799,0.121454
0.710,32.742,0.363481
0.720,118.970,0.067975
0.730,116.047,0.062028
0.740,175.828,0.096645
0.750,166.704,0.205355
0.760,164.731,0.159826
0.770,166.150,0.248672
0.780,167.763,0.250331
0.790,172.855,0.184979
0.800,176.165,0.316270
0.810,146.310,0.126063
0.820,164.718,0.244433
0.830,164.200,0.133224
0.840,231.868,0.217006
0.850,230.327,0.281446
0.860,228.067,0.075500
0.870,228.058,0.055837
0.880,219.857,0.049204
0.890,223.015,0.383994
0.900,229.383,0.212880
0.910,231.045,0.159482
0.920,231.943,0.393541
0.930,230.589,0.469932
0.940,230.026,0.543026
0.950,276.621,0.324904
0.960,279.925,0.378000
0.970,305.273,0.463776
0.980,308.985,0.678682
0.990,311.076,0.766621
1.000,312.407,0.824810
1.010,313.978,0.864337
1.020,313.453,0.920911
1.030,312.727,0.936112
1.040,312.113,0.937446
1.050,311.771,0.949514
1.060,311.731,0.956323
1.070,311.653,0.961486
1.080,311.285,0.961000
1.090,311.552,0.961821
1.100,311.223,0.932101
1.110,310.876,0.919565
1.120,310.917,0.931292
1.130,311.218,0.949916
1.140,311.864,0.950974
1.150,312.153,0.946940
1.160,312.354,0.953333
1.170,312.403,0.943383
1.180,312.187,0.947981
1.190,312.099,0.955999
1.200,311.948,0.958510
1.210,311.752,0.958239
