time,frequency,confidence
0.000,132.722,0.086250
0.010,142.322,0.145993
0.020,140.553,0.524507
0.030,138.434,0.614869
0.040,137.149,0.548581
0.050,136.937,0.233918
0.060,134.753,0.295726
0.070,131.571,0.129047
0.080,229.622,0.198855
0.090,32.313,0.105986
0.100,283.783,0.098909
0.110,205.392,0.108116
0.120,275.207,0.150705
0.130,165.609,0.038463
0.140,281.640,0.177428
0.150,116.641,0.084732
0.160,117.600,0.241054
0.170,116.895,0.226218
0.180,115.724,0.177710
0.190,141.123,0.280540
0.200,138.974,0.273489
0.210,135.194,0.174926
0.220,132.873,0.315314
0.230,226.493,0.188796
0.240,226.266,0.414557
0.250,227.425,0.123142
0.260,32.525,0.180134
0.270,281.126,0.309107
0.280,229.782,0.257174
0.290,227.420,0.066840
0.300,222.613,0.035492
0.310,213.138,0.090507
0.320,159.366,0.080588
0.330,165.945,0.097566
0.340,277.947,0.064419
0.350,277.684,0.111711
0.360,32.261,0.035499
0.370,53.873,0.028442
0.380,158.076,0.016983
0.390,32.777,0.049188
0.400,43.221,0.146047
0.410,43.054,0.249604
0.420,32.953,0.175416
0.430,289.877,0.526055
0.440,294.784,0.671222
0.450,296.438,0.306147
0.460,148.597,0.475084
0.470,147.719,0.729267
0.480,148.593,0.161858
0.490,32.611,0.564736
0.500,32.703,0.343393
0.510,160.475,0.257127
0.520,153.803,0.375982
0.530,153.426,0.743357
0.540,156.482,0.550519
0.550,164.696,0.539156
0.560,163.678,0.522602
0.570,163.702,0.463591
0.580,166.495,0.434862
0.590,164.061,0.291195
0.600,135.071,0.284387
0.610,133.902,0.296599
0.620,138.324,0.059811
0.630,140.751,0.073730
0.640,139.919,0.096449
0.650,114.267,0.045213
0.660,114.596,0.256900
0.670,142.296,0.272720
0.680,144.144,0.392064
0.690,146.194,0.341119
0.700,156.085,0.255894
0.710,158.460,0.179294
0.720,141.614,0.309579
0.730,147.471,0.321413
0.740,150.317,0.453656
0.750,152.541,0.294169
0.760,157.651,0.111089
0.770,233.064,0.157374
0.780,229.667,0.196833
0.790,221.378,0.181167
0.800,218.023,0.224825
0.810,217.989,0.439942
