time,frequency,confidence
0.000,32.760,0.039419
0.010,32.257,0.278220
0.020,32.268,0.441213
0.030,32.237,0.213972
0.040,204.551,0.099908
0.050,208.116,0.117506
0.060,212.850,0.139776
0.070,129.888,0.111164
0.080,132.890,0.092340
0.090,32.831,0.034754
0.100,226.999,0.106559
0.110,229.309,0.125866
0.120,225.402,0.175596
0.130,226.542,0.222127
0.140,226.074,0.292178
0.150,131.566,0.225442
0.160,227.060,0.157867
0.170,122.684,0.088817
0.180,119.644,0.089771
0.190,109.444,0.154116
0.200,113.816,0.127628
0.210,256.219,0.076242
0.220,260.064,0.349593
0.230,259.463,0.294304
0.240,128.221,0.297819
0.250,122.377,0.443833
0.260,120.863,0.419046
0.270,120.923,0.374935
0.280,120.774,0.106269
0.290,127.836,0.066153
0.300,129.026,0.078865
0.310,35.449,0.102805
0.320,204.766,0.071573
0.330,137.110,0.104810
0.340,134.173,0.153081
0.350,131.913,0.145325
0.360,235.247,0.212572
0.370,138.547,0.238431
0.380,137.034,0.365091
0.390,225.383,0.161516
0.400,555.848,0.193787
0.410,587.470,0.344582
0.420,623.987,0.606571
0.430,629.682,0.714423
0.440,629.601,0.820210
0.450,627.013,0.905852
0.460,623.768,0.947323
0.470,622.523,0.961811
0.480,623.295,0.967813
0.490,623.579,0.966745
0.500,623.695,0.967069
0.510,623.303,0.967573
0.520,623.702,0.965686
0.530,624.038,0.963167
0.540,624.048,0.960056
0.550,623.713,0.963613
0.560,623.652,0.962153
0.570,623.665,0.962134
0.580,623.633,0.957741
0.590,623.534,0.957693
0.600,623.377,0.955779
0.610,623.732,0.961588
0.620,623.675,0.959336
0.630,623.586,0.958246
0.640,623.597,0.955467
0.650,624.287,0.918710
0.660,622.504,0.596930
0.670,154.941,0.538236
0.680,155.386,0.691518
0.690,155.845,0.702621
0.700,156.414,0.713845
0.710,156.065,0.730072
0.720,469.232,0.557680
0.730,469.369,0.523461
0.740,156.064,0.528041
0.750,155.723,0.532414
0.760,468.209,0.498486
0.770,468.130,0.562745
0.780,468.335,0.503101
0.790,468.046,0.668652
0.800,468.084,0.702771
0.810,468.482,0.812120
0.820,468.844,0.794558
0.830,468.885,0.816287
0.840,468.662,0.865017
0.850,468.391,0.895980
0.860,468.679,0.886187
0.870,468.547,0.888526
0.880,468.593,0.920726
0.890,468.168,0.855525
0.900,467.630,0.667401
0.910,467.531,0.712100
0.920,467.530,0.543817
0.930,466.837,0.389596
0.940,466.180,0.326686
0.950,466.272,0.427543
0.960,467.616,0.218597
0.970,468.015,0.245974
0.980,466.732,0.287901
0.990,467.252,0.328972
1.000,467.052,0.255983
1.010,466.640,0.248864
1.020,392.810,0.214376
1.030,392.508,0.262065
1.040,393.052,0.461230
1.050,392.349,0.553706
1.060,392.479,0.616855
1.070,392.698,0.695077
1.080,393.404,0.767662
1.090,393.238,0.789415
1.100,392.770,0.767880
1.110,393.163,0.814952
1.120,393.049,0.839535
1.130,392.869,0.770076
1.140,393.284,0.576040
1.150,388.621,0.162176
1.160,627.257,0.237552
1.170,631.087,0.545013
1.180,628.362,0.611396
1.190,622.961,0.743749
1.200,621.843,0.816241
1.210,622.446,0.829130
1.220,622.809,0.859547
1.230,623.675,0.862852
1.240,622.844,0.800971
1.250,622.369,0.760684
1.260,622.449,0.772819
1.270,622.451,0.803560
1.280,622.715,0.795028
1.290,623.438,0.821468
1.300,622.965,0.791053
1.310,622.644,0.774996
1.320,622.682,0.785976
1.330,623.000,0.829222
1.340,623.175,0.853211
1.350,623.182,0.853248
1.360,623.009,0.846478
