time,frequency,confidence
0.000,140.868,0.077483
0.010,280.353,0.209923
0.020,262.081,0.276952
0.030,262.545,0.132120
0.040,254.862,0.432603
0.050,249.612,0.315004
0.060,246.425,0.397607
0.070,250.038,0.249726
0.080,1161.174,0.068096
0.090,1123.422,0.067414
0.100,1134.832,0.084280
0.110,1847.959,0.044496
0.120,1638.217,0.032022
0.130,1686.772,0.327946
0.140,1696.036,0.456328
0.150,1715.166,0.342549
0.160,1744.803,0.405601
0.170,1759.371,0.771367
0.180,1763.158,0.744876
0.190,1772.492,0.234953
0.200,1791.273,0.062293
0.210,33.370,0.137935
0.220,32.513,0.426156
0.230,32.302,0.175259
0.240,126.957,0.211967
0.250,250.713,0.333604
0.260,250.309,0.277711
0.270,35.379,0.217319
0.280,246.248,0.156607
0.290,280.949,0.206222
0.300,280.335,0.178279
0.310,277.831,0.015724
0.320,33.823,0.104595
0.330,253.971,0.194454
0.340,35.377,0.079076
0.350,239.322,0.053212
0.360,194.312,0.282996
0.370,236.775,0.136138
0.380,240.853,0.132064
0.390,32.418,0.080097
0.400,38.638,0.101047
0.410,38.087,0.131840
0.420,124.770,0.295619
0.430,124.305,0.623317
0.440,123.317,0.858422
0.450,122.104,0.911151
0.460,120.926,0.864503
0.470,118.791,0.825314
0.480,119.627,0.686971
0.490,123.096,0.653335
0.500,121.004,0.769786
0.510,119.370,0.787095
0.520,117.438,0.796369
0.530,116.183,0.871561
0.540,115.281,0.895755
0.550,114.411,0.841134
0.560,113.415,0.766430
0.570,112.209,0.722083
0.580,110.975,0.668816
0.590,109.488,0.486677
0.600,109.448,0.325084
0.610,116.682,0.201797
0.620,111.979,0.078414
0.630,329.896,0.074053
0.640,230.500,0.051567
0.650,1619.416,0.123367
0.660,149.802,0.227273
0.670,132.783,0.119486
0.680,120.377,0.379164
0.690,117.657,0.633176
0.700,116.628,0.657340
0.710,115.418,0.798770
0.720,114.915,0.828403
0.730,114.878,0.825310
0.740,114.483,0.807291
0.750,113.424,0.695458
0.760,111.238,0.717605
0.770,109.527,0.781241
0.780,108.806,0.773112
0.790,109.879,0.733348
0.800,111.076,0.723003
0.810,110.714,0.773996
0.820,108.453,0.691213
0.830,105.341,0.773949
0.840,104.527,0.863442
0.850,104.405,0.901271
0.860,104.962,0.860842
0.870,106.379,0.850892
0.880,108.005,0.823822
0.890,108.864,0.883861
0.900,108.896,0.897246
0.910,108.304,0.779523
0.920,106.562,0.542933
0.930,105.158,0.346178
0.940,98.417,0.069556
0.950,83.854,0.170302
0.960,212.496,0.071640
0.970,214.813,0.302728
0.980,216.895,0.419409
0.990,218.588,0.426139
1.000,218.814,0.642100
1.010,213.638,0.226210
1.020,32.249,0.022323
1.030,33.425,0.121565
1.040,33.504,0.047146
1.050,1383.828,0.026019
1.060,1387.175,0.044219
1.070,34.019,0.046935
1.080,142.551,0.034041
1.090,162.882,0.364121
1.100,157.259,0.386399
1.110,161.365,0.551555
1.120,162.464,0.808163
1.130,163.201,0.939887
1.140,163.487,0.959871
1.150,163.421,0.959253
1.160,162.846,0.937685
1.170,162.151,0.933541
1.180,162.392,0.908437
1.190,163.858,0.905315
1.200,164.078,0.886732
